DESPC	DESSC	DESWC	DESPL	DESPLd	DESSL	DESSLd	DESWLsy	DESWLsyd	DESWLlt	DESWLltd	PCNARz	PCNARp	PCSYNz	PCSYNp	PCCNCz	PCCNCp	PCREFz	PCREFp	PCDCz	PCDCp	PCVERBz	PCVERBp	PCCONNz 'Text Easability PC Connectivity, z score'	PCCONNp 'Text Easability PC Connectivity, percentile'	PCTEMPz 'Text Easability PC Temporality, z score'	PCTEMPp 'Text Easability PC Temporality, percentile'	CRFNO1 'Noun overlap, adjacent sentences, binary, mean'	CRFAO1 'Argument overlap, adjacent sentences, binary, mean'	CRFSO1 'Stem overlap, adjacent sentences, binary, mean'	CRFNOa 'Noun overlap, all sentences, binary, mean'	CRFAOa 'Argument overlap, all sentences, binary, mean'	CRFSOa 'Stem overlap, all sentences, binary, mean'	CRFCWO1 'Content word overlap, adjacent sentences, proportional, mean'	CRFCWO1d 'Content word overlap, adjacent sentences, proportional, standard deviation'	CRFCWOa 'Content word overlap, all sentences, proportional, mean'	CRFCWOad 'Content word overlap, all sentences, proportional, standard deviation'	LSASS1 'LSA overlap, adjacent sentences, mean'	LSASS1d 'LSA overlap, adjacent sentences, standard deviation'	LSASSp 'LSA overlap, all sentences in paragraph, mean'	LSASSpd 'LSA overlap, all sentences in paragraph, standard deviation'	LSAPP1 'LSA overlap, adjacent paragraphs, mean'	LSAPP1d 'LSA overlap, adjacent paragraphs, standard deviation'	LSAGN 'LSA given/new, sentences, mean'	LSAGNd 'LSA given/new, sentences, standard deviation'	LDTTRc 'Lexical diversity, type-token ratio, content word lemmas'	LDTTRa	LDMTLD 'Lexical diversity, MTLD, all words'	LDVOCD 'Lexical diversity, VOCD, all words'	CNCAll	CNCCaus	CNCLogic	CNCADC 'Adversative and contrastive connectives incidence'	CNCTemp	CNCTempx 'Expanded temporal connectives incidence'	CNCAdd	CNCPos 'Positive connectives incidence'	CNCNeg 'Negative connectives incidence'	SMCAUSv 'Causal verb incidence'	SMCAUSvp 'Causal verbs and causal particles incidence'	SMINTEp 'Intentional verbs incidence'	SMCAUSr 'Ratio of casual particles to causal verbs'	SMINTEr 'Ratio of intentional particles to intentional verbs'	SMCAUSlsa 'LSA verb overlap'	SMCAUSwn 'WordNet verb overlap'	SMTEMP 'Temporal cohesion, tense and aspect repetition, mean'	SYNLE 'Left embeddedness, words before main verb, mean'	SYNNP 'Number of modifiers per noun phrase, mean'	SYNMEDpos 'Minimal Edit Distance, part of speech'	SYNMEDwrd 'Minimal Edit Distance, all words'	SYNMEDlem 'Minimal Edit Distance, lemmas'	SYNSTRUTa 'Sentence syntax similarity, adjacent sentences, mean'	SYNSTRUTt 'Sentence syntax similarity, all combinations, across  paragraphs, mean'	DRNP 'Noun phrase density, incidence'	DRVP 'Verb phrase density, incidence'	DRAP 'Adverbial phrase density, incidence'	DRPP 'Preposition phrase density, incidence'	DRPVAL 'Agentless passive voice density, incidence'	DRNEG	DRGERUND 'Gerund density, incidence'	DRINF 'Infinitive density, incidence'	WRDNOUN	WRDVERB	WRDADJ	WRDADV	WRDPRO	WRDPRP1s 'First person singular pronoun incidence'	WRDPRP1p 'First person plural pronoun incidence'	WRDPRP2 'Second person pronoun incidence'	WRDPRP3s 'Third person singular pronoun incidence'	WRDPRP3p 'Third person plural pronoun incidence'	WRDFRQc 'CELEX word frequency for content words, mean'	WRDFRQa 'CELEX Log frequency for all words, mean'	WRDFRQmc 'CELEX Log minimum frequency for content words, mean'	WRDAOAc 'Age of acquisition for content words, mean'	WRDFAMc 'Familiarity for content words, mean'	WRDCNCc 'Concreteness for content words, mean'	WRDIMGc 'Imagability for content words, mean'	WRDMEAc 'Meaningfulness, Colorado norms, content words, mean'	WRDPOLc 'Polysemy for content words, mean'	WRDHYPn 'Hypernymy for nouns, mean'	WRDHYPv 'Hypernymy for verbs, mean'	WRDHYPnv 'Hypernymy for nouns and verbs, mean'	RDFRE 'Flesch Reading Ease'	RDFKGL 'Flesch-Kincaid Grade level'	RDL2 'Coh-Metrix L2 Readability'
24	24	772	1	0	32.167	11.182	1.635	0.97	4.913	2.654	-1.379	8.53	-1.841	3.29	1.486	93.06	2.069	98.03	1.334	90.82	1.775	96.16	-1.837	3.36	-1.983	2.39	0.522	0.739	0.652	0.497	0.676	0.611	0.076	0.072	0.069	0.071	0.168	0.098	0	0	0.168	0.098	0.309	0.089	0.7	0.465	125.645	128.262	84.197	40.155	41.451	16.839	15.544	20.725	41.451	0	0	15.544	40.155	14.249	1.462	1.333	0.041	0.598	0.63	4.5	1	0	0	0	0.072	0.067	362.694	205.959	25.907	120.466	18.135	10.363	6.477	22.021	314.767	116.581	75.13	46.632	34.974	0	1.295	0	0	6.477	2.028	2.871	0.457	402.458	560.004	376.662	408.95	425.588	4.059	6.81	1.789	2.352	35.865	16.248	8.387
26	52	1395	2	0.98	26.827	11.933	1.639	0.927	4.867	2.655	-0.628	26.76	-0.902	18.41	-0.533	29.81	0.786	78.23	0.02	50.4	-1.663	4.85	-0.101	46.02	0.515	69.5	0.745	0.765	0.804	0.718	0.723	0.748	0.151	0.119	0.112	0.099	0.325	0.166	0.335	0.192	0.402	0.162	0.377	0.12	0.476	0.35	94.627	102.447	66.667	30.824	22.222	4.301	16.487	19.355	30.824	0	0	18.638	22.222	14.337	0.185	1.857	0.06	0.325	0.941	10.692	1.003	0.63	0.863	0.842	0.063	0.06	402.867	173.477	20.072	133.333	6.452	5.735	22.222	12.903	346.953	131.899	73.835	33.692	10.753	0	0	0	0	3.584	2.062	2.877	0.98	396.389	556.399	360.066	398.81	419.233	3.103	5.754	1.914	2.136	40.946	14.213	12.494
26	36	777	1.385	0.804	21.583	9.663	1.443	0.834	4.707	2.564	-0.122	45.22	-0.449	33	0.522	69.85	-1.294	9.85	0.507	69.15	0.626	73.24	-2.335	0.99	0.099	53.59	0.257	0.429	0.286	0.23	0.334	0.266	0.07	0.082	0.048	0.065	0.095	0.107	0.05	0.1	0.127	0.106	0.27	0.084	0.702	0.476	138.321	136.006	93.951	27.027	33.462	14.157	20.592	19.305	47.619	0	0	16.731	20.592	23.166	0.214	1.053	0.068	0.67	0.871	5.639	1.014	0.628	0.895	0.869	0.088	0.077	362.934	187.902	21.879	102.96	6.435	15.444	23.166	10.296	305.019	118.404	74.646	50.193	64.35	5.148	7.722	3.861	20.592	18.018	2.235	3.051	1.345	306.887	575.673	371.803	414.408	429.969	3.966	5.075	1.662	1.751	62.85	9.855	13.643
29	34	639	1.172	0.468	18.794	11.801	1.812	1.02	5.433	3.029	-1.693	4.55	0.129	54.78	0.509	69.15	-0.91	18.14	-1.261	10.38	-2.508	0.62	-1.455	7.35	0.78	77.94	0.576	0.576	0.606	0.435	0.46	0.505	0.136	0.137	0.101	0.121	0.17	0.173	0.104	0.122	0.201	0.16	0.289	0.122	0.635	0.504	89.301	116.317	62.598	17.214	10.955	6.26	0	9.39	43.818	0	0	9.39	9.39	18.779	0	0.846	0.005	0.144	0.985	5.941	1.563	0.729	0.961	0.961	0.155	0.084	438.185	115.806	4.695	82.942	3.13	1.565	6.26	12.52	519.562	104.852	84.507	6.26	3.13	0	0	0	0	1.565	1.724	2.54	1.267	391.333	552.753	393.113	418.487	435.24	2.882	5.13	2.399	2.712	34.464	13.121	9.859
22	42	819	1.909	0.684	19.5	20.03	1.706	0.958	5.106	2.843	-1.218	11.31	1.15	87.29	0.419	65.91	-1.937	2.68	0.167	56.36	-1.21	11.31	-0.737	23.27	0.737	76.73	0.122	0.122	0.146	0.249	0.249	0.282	0.018	0.055	0.121	0.302	0.076	0.128	0.097	0.151	0.145	0.109	0.408	0.209	0.686	0.493	153.555	129.452	70.818	21.978	18.315	6.105	18.315	35.409	30.525	0	0	15.873	20.757	18.315	0.286	1	0.042	0.354	0.951	2.262	1.267	0.843	0.971	0.964	0.038	0.167	368.742	167.277	3.663	111.111	12.21	0	21.978	20.757	401.709	112.332	63.492	10.989	8.547	0	0	0	2.442	3.663	1.945	2.732	2.049	369.813	565.863	411.105	440.172	436.27	3.799	6.19	2.029	2.659	42.715	12.146	1.429
