DESPC	DESSC	DESWC	DESPL	DESPLd	DESSL	DESSLd	DESWLsy	DESWLsyd	DESWLlt	DESWLltd	PCNARz	PCNARp	PCSYNz	PCSYNp	PCCNCz	PCCNCp	PCREFz	PCREFp	PCDCz	PCDCp	PCVERBz	PCVERBp	PCCONNz 'Text Easability PC Connectivity, z score'	PCCONNp 'Text Easability PC Connectivity, percentile'	PCTEMPz 'Text Easability PC Temporality, z score'	PCTEMPp 'Text Easability PC Temporality, percentile'	CRFNO1 'Noun overlap, adjacent sentences, binary, mean'	CRFAO1 'Argument overlap, adjacent sentences, binary, mean'	CRFSO1 'Stem overlap, adjacent sentences, binary, mean'	CRFNOa 'Noun overlap, all sentences, binary, mean'	CRFAOa 'Argument overlap, all sentences, binary, mean'	CRFSOa 'Stem overlap, all sentences, binary, mean'	CRFCWO1 'Content word overlap, adjacent sentences, proportional, mean'	CRFCWO1d 'Content word overlap, adjacent sentences, proportional, standard deviation'	CRFCWOa 'Content word overlap, all sentences, proportional, mean'	CRFCWOad 'Content word overlap, all sentences, proportional, standard deviation'	LSASS1 'LSA overlap, adjacent sentences, mean'	LSASS1d 'LSA overlap, adjacent sentences, standard deviation'	LSASSp 'LSA overlap, all sentences in paragraph, mean'	LSASSpd 'LSA overlap, all sentences in paragraph, standard deviation'	LSAPP1 'LSA overlap, adjacent paragraphs, mean'	LSAPP1d 'LSA overlap, adjacent paragraphs, standard deviation'	LSAGN 'LSA given/new, sentences, mean'	LSAGNd 'LSA given/new, sentences, standard deviation'	LDTTRc 'Lexical diversity, type-token ratio, content word lemmas'	LDTTRa	LDMTLD 'Lexical diversity, MTLD, all words'	LDVOCD 'Lexical diversity, VOCD, all words'	CNCAll	CNCCaus	CNCLogic	CNCADC 'Adversative and contrastive connectives incidence'	CNCTemp	CNCTempx 'Expanded temporal connectives incidence'	CNCAdd	CNCPos 'Positive connectives incidence'	CNCNeg 'Negative connectives incidence'	SMCAUSv 'Causal verb incidence'	SMCAUSvp 'Causal verbs and causal particles incidence'	SMINTEp 'Intentional verbs incidence'	SMCAUSr 'Ratio of casual particles to causal verbs'	SMINTEr 'Ratio of intentional particles to intentional verbs'	SMCAUSlsa 'LSA verb overlap'	SMCAUSwn 'WordNet verb overlap'	SMTEMP 'Temporal cohesion, tense and aspect repetition, mean'	SYNLE 'Left embeddedness, words before main verb, mean'	SYNNP 'Number of modifiers per noun phrase, mean'	SYNMEDpos 'Minimal Edit Distance, part of speech'	SYNMEDwrd 'Minimal Edit Distance, all words'	SYNMEDlem 'Minimal Edit Distance, lemmas'	SYNSTRUTa 'Sentence syntax similarity, adjacent sentences, mean'	SYNSTRUTt 'Sentence syntax similarity, all combinations, across  paragraphs, mean'	DRNP 'Noun phrase density, incidence'	DRVP 'Verb phrase density, incidence'	DRAP 'Adverbial phrase density, incidence'	DRPP 'Preposition phrase density, incidence'	DRPVAL 'Agentless passive voice density, incidence'	DRNEG	DRGERUND 'Gerund density, incidence'	DRINF 'Infinitive density, incidence'	WRDNOUN	WRDVERB	WRDADJ	WRDADV	WRDPRO	WRDPRP1s 'First person singular pronoun incidence'	WRDPRP1p 'First person plural pronoun incidence'	WRDPRP2 'Second person pronoun incidence'	WRDPRP3s 'Third person singular pronoun incidence'	WRDPRP3p 'Third person plural pronoun incidence'	WRDFRQc 'CELEX word frequency for content words, mean'	WRDFRQa 'CELEX Log frequency for all words, mean'	WRDFRQmc 'CELEX Log minimum frequency for content words, mean'	WRDAOAc 'Age of acquisition for content words, mean'	WRDFAMc 'Familiarity for content words, mean'	WRDCNCc 'Concreteness for content words, mean'	WRDIMGc 'Imagability for content words, mean'	WRDMEAc 'Meaningfulness, Colorado norms, content words, mean'	WRDPOLc 'Polysemy for content words, mean'	WRDHYPn 'Hypernymy for nouns, mean'	WRDHYPv 'Hypernymy for verbs, mean'	WRDHYPnv 'Hypernymy for nouns and verbs, mean'	RDFRE 'Flesch Reading Ease'	RDFKGL 'Flesch-Kincaid Grade level'	RDL2 'Coh-Metrix L2 Readability'
22	37	843	1.682	0.78	22.784	11.733	1.612	0.904	4.905	2.544	-0.735	23.27	-0.261	39.74	0.767	77.64	-0.69	24.51	0.218	58.32	-0.757	22.66	-1.037	15.15	-0.129	44.83	0.333	0.472	0.444	0.378	0.432	0.438	0.073	0.11	0.053	0.075	0.23	0.21	0.171	0.236	0.372	0.145	0.344	0.126	0.645	0.461	113.05	116.43	78.292	26.097	27.284	8.304	11.862	16.607	34.401	0	0	18.98	30.842	23.725	0.588	0.714	0.064	0.549	0.847	6.568	1.035	0.614	0.896	0.868	0.084	0.086	374.852	194.543	16.607	111.507	8.304	11.862	10.676	10.676	353.5	131.673	60.498	36.773	36.773	2.372	3.559	0	16.607	8.304	1.964	2.854	1.1	383.613	565.292	407.843	433.745	439.219	3.773	5.748	1.684	2.165	47.334	12.317	7.534
25	36	769	1.44	0.712	21.361	10.473	1.648	0.935	5.023	2.68	-1.069	14.46	0.086	53.19	-0.053	48.01	-1.598	5.59	-0.206	42.07	-1.581	5.71	-0.736	23.27	-1.079	14.01	0.4	0.486	0.514	0.243	0.348	0.377	0.063	0.09	0.041	0.068	0.241	0.153	0.184	0.129	0.308	0.137	0.321	0.106	0.7	0.504	150.882	162.447	65.02	22.107	22.107	13.004	16.905	32.51	27.308	0	0	20.806	23.407	20.806	0.118	0.882	0.033	0.531	0.771	4.083	1.174	0.732	0.942	0.9	0.091	0.068	352.406	201.56	13.004	106.632	10.403	5.202	16.905	24.707	318.595	126.138	101.43	22.106	19.506	0	3.901	0	6.502	2.601	2.017	2.739	1.1	392.082	556.292	375.887	413.071	427.16	3.532	6.599	1.967	2.239	45.733	12.187	8.625
32	46	1077	1.438	0.564	23.413	11.241	1.564	0.834	4.823	2.53	-0.453	32.64	-0.258	40.13	-0.455	32.64	-0.928	17.88	0.764	77.64	-0.578	28.43	-1.822	3.44	-1.134	12.92	0.4	0.511	0.6	0.296	0.393	0.459	0.093	0.097	0.053	0.069	0.191	0.182	0.125	0.166	0.259	0.156	0.327	0.098	0.618	0.421	118.469	135.33	77.994	25.07	46.425	23.213	18.57	20.427	35.283	0	0	16.713	25.07	11.142	0.474	1.692	0.066	0.494	0.733	3.913	1.045	0.677	0.914	0.894	0.054	0.054	332.405	194.058	40.854	103.064	6.5	6.5	35.283	16.713	282.265	117.921	84.494	76.138	33.426	2.786	3.714	4.643	0.929	12.999	2.117	2.843	0.913	364.031	564.92	367.406	394.531	403.96	4.362	6.781	1.609	2.045	50.756	11.996	10.136
28	38	802	1.357	0.559	21.105	11.926	1.537	0.849	4.595	2.382	0.002	50	-0.652	25.78	-0.133	44.83	-0.781	21.77	0	50	0.969	83.15	-1.246	10.75	-0.439	33	0.324	0.432	0.432	0.218	0.366	0.348	0.068	0.088	0.055	0.082	0.096	0.134	0.028	0.111	0.169	0.139	0.274	0.087	0.686	0.458	95.651	86.552	73.566	23.691	34.913	14.963	16.209	14.963	37.406	0	0	16.209	23.691	23.691	0.429	0.7	0.06	0.533	0.824	8.526	0.977	0.657	0.869	0.847	0.091	0.085	354.115	201.995	23.691	122.195	0	12.469	11.222	23.691	273.068	122.194	87.282	46.135	53.616	1.247	4.988	0	6.234	33.666	2.401	3.173	1.773	367.22	575.937	373.024	408.033	436.173	3.661	5.484	1.761	1.73	55.383	10.778	17.417
17	40	1093	2.353	1.115	27.325	11.582	1.635	0.91	4.832	2.597	-0.799	21.48	-1.098	13.79	-0.502	30.85	0.595	72.24	-0.322	37.45	-1.512	6.55	-0.791	21.48	0.571	71.57	0.692	0.692	0.744	0.664	0.67	0.716	0.155	0.132	0.104	0.1	0.329	0.167	0.328	0.194	0.408	0.127	0.378	0.104	0.508	0.38	92.747	103.494	65.874	26.532	21.043	5.489	16.468	15.554	39.341	0	0	18.298	20.128	12.809	0.095	1.8	0.075	0.407	0.936	11.075	1.026	0.646	0.869	0.848	0.056	0.059	400.732	177.493	23.788	127.173	6.404	4.575	19.213	13.724	343.093	124.427	72.278	38.427	10.979	0	0	0	0	3.66	2.098	2.864	0	393.9	559.125	355.434	395.024	414.344	3.174	5.807	1.878	2.129	40.779	14.36	13.074
