DESPC	DESSC	DESWC	DESPL	DESPLd	DESSL	DESSLd	DESWLsy	DESWLsyd	DESWLlt	DESWLltd	PCNARz	PCNARp	PCSYNz	PCSYNp	PCCNCz	PCCNCp	PCREFz	PCREFp	PCDCz	PCDCp	PCVERBz	PCVERBp	PCCONNz 'Text Easability PC Connectivity, z score'	PCCONNp 'Text Easability PC Connectivity, percentile'	PCTEMPz 'Text Easability PC Temporality, z score'	PCTEMPp 'Text Easability PC Temporality, percentile'	CRFNO1 'Noun overlap, adjacent sentences, binary, mean'	CRFAO1 'Argument overlap, adjacent sentences, binary, mean'	CRFSO1 'Stem overlap, adjacent sentences, binary, mean'	CRFNOa 'Noun overlap, all sentences, binary, mean'	CRFAOa 'Argument overlap, all sentences, binary, mean'	CRFSOa 'Stem overlap, all sentences, binary, mean'	CRFCWO1 'Content word overlap, adjacent sentences, proportional, mean'	CRFCWO1d 'Content word overlap, adjacent sentences, proportional, standard deviation'	CRFCWOa 'Content word overlap, all sentences, proportional, mean'	CRFCWOad 'Content word overlap, all sentences, proportional, standard deviation'	LSASS1 'LSA overlap, adjacent sentences, mean'	LSASS1d 'LSA overlap, adjacent sentences, standard deviation'	LSASSp 'LSA overlap, all sentences in paragraph, mean'	LSASSpd 'LSA overlap, all sentences in paragraph, standard deviation'	LSAPP1 'LSA overlap, adjacent paragraphs, mean'	LSAPP1d 'LSA overlap, adjacent paragraphs, standard deviation'	LSAGN 'LSA given/new, sentences, mean'	LSAGNd 'LSA given/new, sentences, standard deviation'	LDTTRc 'Lexical diversity, type-token ratio, content word lemmas'	LDTTRa	LDMTLD 'Lexical diversity, MTLD, all words'	LDVOCD 'Lexical diversity, VOCD, all words'	CNCAll	CNCCaus	CNCLogic	CNCADC 'Adversative and contrastive connectives incidence'	CNCTemp	CNCTempx 'Expanded temporal connectives incidence'	CNCAdd	CNCPos 'Positive connectives incidence'	CNCNeg 'Negative connectives incidence'	SMCAUSv 'Causal verb incidence'	SMCAUSvp 'Causal verbs and causal particles incidence'	SMINTEp 'Intentional verbs incidence'	SMCAUSr 'Ratio of casual particles to causal verbs'	SMINTEr 'Ratio of intentional particles to intentional verbs'	SMCAUSlsa 'LSA verb overlap'	SMCAUSwn 'WordNet verb overlap'	SMTEMP 'Temporal cohesion, tense and aspect repetition, mean'	SYNLE 'Left embeddedness, words before main verb, mean'	SYNNP 'Number of modifiers per noun phrase, mean'	SYNMEDpos 'Minimal Edit Distance, part of speech'	SYNMEDwrd 'Minimal Edit Distance, all words'	SYNMEDlem 'Minimal Edit Distance, lemmas'	SYNSTRUTa 'Sentence syntax similarity, adjacent sentences, mean'	SYNSTRUTt 'Sentence syntax similarity, all combinations, across  paragraphs, mean'	DRNP 'Noun phrase density, incidence'	DRVP 'Verb phrase density, incidence'	DRAP 'Adverbial phrase density, incidence'	DRPP 'Preposition phrase density, incidence'	DRPVAL 'Agentless passive voice density, incidence'	DRNEG	DRGERUND 'Gerund density, incidence'	DRINF 'Infinitive density, incidence'	WRDNOUN	WRDVERB	WRDADJ	WRDADV	WRDPRO	WRDPRP1s 'First person singular pronoun incidence'	WRDPRP1p 'First person plural pronoun incidence'	WRDPRP2 'Second person pronoun incidence'	WRDPRP3s 'Third person singular pronoun incidence'	WRDPRP3p 'Third person plural pronoun incidence'	WRDFRQc 'CELEX word frequency for content words, mean'	WRDFRQa 'CELEX Log frequency for all words, mean'	WRDFRQmc 'CELEX Log minimum frequency for content words, mean'	WRDAOAc 'Age of acquisition for content words, mean'	WRDFAMc 'Familiarity for content words, mean'	WRDCNCc 'Concreteness for content words, mean'	WRDIMGc 'Imagability for content words, mean'	WRDMEAc 'Meaningfulness, Colorado norms, content words, mean'	WRDPOLc 'Polysemy for content words, mean'	WRDHYPn 'Hypernymy for nouns, mean'	WRDHYPv 'Hypernymy for verbs, mean'	WRDHYPnv 'Hypernymy for nouns and verbs, mean'	RDFRE 'Flesch Reading Ease'	RDFKGL 'Flesch-Kincaid Grade level'	RDL2 'Coh-Metrix L2 Readability'
26	27	811	1.038	0.196	30.037	9.279	1.654	0.907	4.936	2.641	-0.697	24.51	-0.862	19.49	0.435	66.64	0.083	53.19	-0.148	44.43	-0.813	20.9	-0.724	23.58	-2.605	0.47	0.692	0.731	0.731	0.544	0.605	0.651	0.108	0.12	0.079	0.085	0.304	0.171	0.304	0	0.309	0.179	0.369	0.116	0.61	0.415	93.528	93.712	70.284	24.661	30.826	11.097	9.864	20.962	35.758	0	0	12.33	18.496	24.661	0.455	0.81	0.063	0.607	0.615	9.296	1.048	0.7	1	1	0.067	0.076	356.35	209.618	14.797	123.305	14.797	3.699	14.797	30.826	325.524	133.169	75.216	23.428	25.894	1.233	8.631	0	6.165	1.233	2.136	2.975	0.677	385.374	561.53	383.588	413.055	433.424	3.808	6.054	1.843	2.171	36.419	15.642	12.145
34	39	1019	1.147	0.359	26.128	11.901	1.619	0.939	4.963	2.772	-1.018	15.62	-0.686	24.83	0.354	63.68	-1.501	6.68	0.27	60.26	-0.31	37.83	-0.741	22.96	-2.308	1.07	0.395	0.421	0.447	0.343	0.397	0.469	0.047	0.056	0.04	0.052	0.119	0.107	0.047	0.039	0.156	0.119	0.272	0.072	0.716	0.483	149.723	103.937	70.658	25.515	35.329	12.758	23.553	24.534	30.422	0	0	16.683	22.571	20.608	0.333	1.045	0.058	0.586	0.632	6.308	1.147	0.716	0.946	0.913	0.065	0.066	401.374	149.166	28.459	141.315	2.944	2.944	19.627	8.832	340.53	102.061	96.173	45.142	19.627	0	0	0	4.907	3.925	2.027	2.95	0.3	350.971	560.196	381.239	416.615	412.443	3.891	5.817	1.852	2.077	43.348	13.704	6.418
35	42	849	1.2	0.473	20.214	9.126	1.703	0.954	5.004	2.702	-1.057	14.69	0.144	55.57	0.736	76.73	-0.752	22.66	0.232	59.1	-1.066	14.46	-2.49	0.64	-1.588	5.71	0.512	0.561	0.61	0.397	0.466	0.515	0.093	0.082	0.063	0.072	0.262	0.171	0.199	0.183	0.294	0.171	0.35	0.102	0.663	0.474	115.43	124.859	83.628	17.668	43.581	17.668	21.201	21.201	49.47	0	0	23.557	25.913	18.846	0.095	0.765	0.073	0.485	0.72	4.452	1.081	0.68	0.923	0.913	0.075	0.068	369.847	189.635	21.201	106.007	7.067	2.356	17.668	22.379	333.333	110.719	103.652	37.692	27.091	0	3.534	0	4.711	7.067	1.959	2.763	0.86	362.878	571.011	397.722	421.293	424.724	3.928	6.524	1.703	2.308	42.244	12.389	7.92
37	53	911	1.432	0.555	17.189	7.645	1.495	0.777	4.716	2.377	-0.26	39.74	0.057	51.99	-0.329	37.07	-0.543	29.46	-0.516	30.5	-0.381	35.2	-1.393	8.23	-0.872	19.22	0.404	0.538	0.519	0.251	0.379	0.362	0.091	0.105	0.064	0.09	0.177	0.148	0.22	0.162	0.215	0.134	0.314	0.105	0.584	0.425	107.581	122.813	62.569	15.368	29.638	14.27	9.879	20.856	40.615	0	0	13.172	18.661	28.54	0.385	0.333	0.053	0.521	0.788	6.642	0.866	0.66	0.897	0.877	0.123	0.101	372.119	210.757	28.54	109.769	0	4.391	20.856	16.465	358.946	125.136	57.08	48.299	51.592	3.293	9.879	2.195	4.391	12.075	2.301	3.016	1.378	380.97	564.48	364.802	407.608	419.214	4.014	5.326	1.677	2.028	62.911	8.755	18.354
31	51	880	1.645	0.877	17.255	9.485	1.484	0.789	4.397	2.415	0.538	70.19	-0.574	28.43	-0.246	40.52	-0.529	29.81	-0.561	28.77	-0.061	47.61	-0.824	20.61	-0.993	16.11	0.26	0.66	0.32	0.174	0.503	0.204	0.096	0.097	0.073	0.084	0.169	0.134	0.145	0.134	0.206	0.15	0.281	0.096	0.73	0.477	102.425	114.137	62.5	18.182	23.864	12.5	20.455	15.909	31.818	0	0	21.591	27.273	28.409	0.25	0.5	0.118	0.587	0.76	5.137	0.702	0.684	0.901	0.876	0.098	0.085	402.273	197.727	30.682	115.909	3.409	9.091	9.091	22.727	260.228	118.181	65.909	55.681	119.318	29.545	5.682	9.091	53.409	9.091	2.269	3.041	1.26	363.923	573.588	370.758	414.639	424.855	3.518	5.965	1.753	1.666	63.775	8.651	16.368
