,ConnectiveAdditiveIncidence,ConnectiveCasualIncidence,ConnectiveIncidence,ConnectiveLogicIncidence,ConnectiveTemporalIncidence,ContentDiversty,LexicalDiversty,LogicAndIncidence,LogicIfIncidence,LogicNegationIncidence,LogicOperatorsIncidence,LogicOrIncidence,adjectiveIncidence,adpPronRatio,advIncidence,avg_syllables_per_word,avg_word_per_sentence,contentIncidence,functionalIncidence,mean_sentence_length,mean_word_length,median_sentence_length,median_word_length,nounIncidence,percentile_25_sentence_length,percentile_25_word_length,percentile_50_sentence_length,percentile_50_word_length,percentile_75_sentence_length,percentile_75_word_length,percentile_90_sentence_length,percentile_90_word_length,pronIncidence,redability,sentence_count,sentence_sized_30,syllable_count,verbIncidence,word_count
0,0.0,5.23560209424,31.4136125654,0.0,5.23560209424,0.75,0.549738219895,0.0,0.0,10.4712041885,10.4712041885,0.0,47.1204188482,0.0681818181818,31.4136125654,1.74869109948,38.2,376.963350785,329.842931937,48.2,1.51818181818,63.0,63.0,240.837696335,21.0,0.0,63.0,1.0,67.0,2.0,74.2,4.0,13.6363636364,19.9,5,60,334,57.5916230366,191
1,0.0,0.0,45.9770114943,0.0,0.0,0.909090909091,0.712643678161,0.0,0.0,0.0,0.0,0.0,22.9885057471,0.16,103.448275862,2.06896551724,29.0,505.747126437,448.275862069,32.6666666667,1.83673469388,32.0,32.0,310.344827586,30.5,1.0,32.0,2.0,34.5,3.0,36.0,4.0,40.8163265306,20.1,3,66,180,68.9655172414,87
2,0.0,9.27152317881,42.3841059603,0.0,9.27152317881,0.631043256997,0.462251655629,0.0,0.0,10.5960264901,10.5960264901,0.0,98.0132450331,0.231958762887,37.0860927152,2.4701986755,30.2,520.529801325,406.622516556,33.56,2.22288438617,36.0,36.0,286.092715232,23.0,1.0,36.0,2.0,44.0,3.0,51.0,5.0,53.6352800954,25.3,25,52,1865,99.3377483444,755
3,0.0,13.2890365449,36.5448504983,0.0,13.2890365449,0.80701754386,0.607973421927,0.0,0.0,3.32225913621,3.32225913621,0.0,99.6677740864,0.2,46.511627907,2.17607973422,37.625,568.106312292,375.415282392,44.5,1.82451253482,27.5,27.5,342.19269103,21.75,0.0,27.5,1.0,47.0,3.0,87.2,4.0,38.9972144847,24.8,8,37,655,83.0564784053,301
4,0.0,5.22193211488,44.3864229765,0.0,5.22193211488,0.656565656566,0.509138381201,0.0,0.0,7.83289817232,7.83289817232,0.0,70.4960835509,0.214285714286,18.2767624021,2.35509138381,25.5333333333,516.971279373,389.033942559,28.8,2.03611738149,26.0,26.0,355.091383812,20.5,0.0,26.0,2.0,37.0,3.0,45.2,5.0,47.4040632054,22.2,15,26,902,73.1070496084,383
5,0.0,7.16845878136,39.4265232975,0.0,7.16845878136,0.806896551724,0.612903225806,0.0,0.0,3.58422939068,3.58422939068,0.0,75.2688172043,0.184615384615,25.0896057348,2.50537634409,27.9,519.713261649,397.849462366,30.6,2.23322683706,32.5,32.5,329.749103943,23.75,1.0,32.5,2.0,39.75,4.0,41.3,5.0,38.338658147,24.9,10,60,699,89.605734767,279
6,0.0,3.81097560976,54.1158536585,0.0,3.81097560976,0.656565656566,0.447408536585,0.0,0.0,7.62195121951,7.62195121951,0.0,80.7926829268,0.4,35.8231707317,2.36890243902,38.5882352941,528.201219512,409.298780488,43.4705882353,2.04070912672,32.5,32.5,288.109756098,25.5,1.0,32.5,2.0,53.75,3.0,77.6,5.0,73.5390676297,27.4,34,70,3108,123.475609756,1312
7,0.0,0.0,55.7491289199,0.0,0.0,0.819277108434,0.641114982578,0.0,0.0,13.93728223,13.93728223,0.0,87.1080139373,0.222222222222,34.8432055749,2.28571428571,41.0,578.397212544,372.822299652,48.0,1.94082840237,57.0,57.0,376.306620209,26.0,0.0,57.0,2.0,65.5,3.0,72.0,5.0,47.3372781065,27.4,7,57,656,87.1080139373,287
8,0.0,4.80769230769,43.2692307692,0.0,4.80769230769,0.727272727273,0.569711538462,0.0,0.0,4.80769230769,4.80769230769,0.0,76.9230769231,0.130434782609,14.4230769231,2.16346153846,34.6666666667,608.173076923,341.346153846,39.9166666667,1.85950413223,32.5,32.5,451.923076923,29.0,0.0,32.5,2.0,55.25,3.0,60.5,4.0,24.7933884298,23.5,12,66,900,64.9038461538,416
9,0.0,0.0,47.0588235294,0.0,0.0,0.906976744186,0.776470588235,0.0,0.0,35.2941176471,35.2941176471,0.0,47.0588235294,0.0416666666667,47.0588235294,2.03529411765,17.0,505.882352941,400.0,20.0,1.71287128713,19.0,19.0,364.705882353,12.0,0.0,19.0,1.0,23.0,3.0,33.8,4.0,9.90099009901,15.1,5,20,173,47.0588235294,85
10,0.0,6.2630480167,58.4551148225,0.0,6.2630480167,0.609108159393,0.434237995825,0.0,0.0,10.4384133612,10.4384133612,0.0,89.7703549061,0.315,37.5782881002,2.37265135699,38.32,550.104384134,386.221294363,42.16,2.06448683015,33.0,33.0,289.144050104,21.0,0.0,33.0,2.0,52.0,3.0,80.6,5.0,57.2207084469,27.4,25,56,2273,133.611691023,958
11,0.0,0.0,34.7826086957,0.0,0.0,0.746113989637,0.669565217391,0.0,0.0,0.0,0.0,0.0,34.7826086957,0.0952380952381,0.0,2.68695652174,115.0,839.130434783,152.173913043,153.5,2.01302931596,153.5,153.5,782.608695652,89.75,0.0,153.5,2.0,217.25,3.0,255.5,4.0,6.51465798046,61.0,2,50,618,21.7391304348,230
12,0.0,13.5135135135,20.2702702703,0.0,13.5135135135,0.87012987013,0.736486486486,0.0,0.0,6.75675675676,6.75675675676,0.0,54.0540540541,0.243243243243,13.5135135135,2.55405405405,24.6666666667,520.27027027,405.405405405,26.3333333333,2.3625,21.5,21.5,351.351351351,17.5,1.0,21.5,2.0,32.25,4.0,41.0,5.0,56.25,24.2,6,33,378,101.351351351,148
