DESPC	DESSC	DESWC	DESPL	DESPLd	DESSL	DESSLd	DESWLsy	DESWLsyd	DESWLlt	DESWLltd	PCNARz	PCNARp	PCSYNz	PCSYNp	PCCNCz	PCCNCp	PCREFz	PCREFp	PCDCz	PCDCp	PCVERBz	PCVERBp	PCCONNz 'Text Easability PC Connectivity, z score'	PCCONNp 'Text Easability PC Connectivity, percentile'	PCTEMPz 'Text Easability PC Temporality, z score'	PCTEMPp 'Text Easability PC Temporality, percentile'	CRFNO1 'Noun overlap, adjacent sentences, binary, mean'	CRFAO1 'Argument overlap, adjacent sentences, binary, mean'	CRFSO1 'Stem overlap, adjacent sentences, binary, mean'	CRFNOa 'Noun overlap, all sentences, binary, mean'	CRFAOa 'Argument overlap, all sentences, binary, mean'	CRFSOa 'Stem overlap, all sentences, binary, mean'	CRFCWO1 'Content word overlap, adjacent sentences, proportional, mean'	CRFCWO1d 'Content word overlap, adjacent sentences, proportional, standard deviation'	CRFCWOa 'Content word overlap, all sentences, proportional, mean'	CRFCWOad 'Content word overlap, all sentences, proportional, standard deviation'	LSASS1 'LSA overlap, adjacent sentences, mean'	LSASS1d 'LSA overlap, adjacent sentences, standard deviation'	LSASSp 'LSA overlap, all sentences in paragraph, mean'	LSASSpd 'LSA overlap, all sentences in paragraph, standard deviation'	LSAPP1 'LSA overlap, adjacent paragraphs, mean'	LSAPP1d 'LSA overlap, adjacent paragraphs, standard deviation'	LSAGN 'LSA given/new, sentences, mean'	LSAGNd 'LSA given/new, sentences, standard deviation'	LDTTRc 'Lexical diversity, type-token ratio, content word lemmas'	LDTTRa	LDMTLD 'Lexical diversity, MTLD, all words'	LDVOCD 'Lexical diversity, VOCD, all words'	CNCAll	CNCCaus	CNCLogic	CNCADC 'Adversative and contrastive connectives incidence'	CNCTemp	CNCTempx 'Expanded temporal connectives incidence'	CNCAdd	CNCPos 'Positive connectives incidence'	CNCNeg 'Negative connectives incidence'	SMCAUSv 'Causal verb incidence'	SMCAUSvp 'Causal verbs and causal particles incidence'	SMINTEp 'Intentional verbs incidence'	SMCAUSr 'Ratio of casual particles to causal verbs'	SMINTEr 'Ratio of intentional particles to intentional verbs'	SMCAUSlsa 'LSA verb overlap'	SMCAUSwn 'WordNet verb overlap'	SMTEMP 'Temporal cohesion, tense and aspect repetition, mean'	SYNLE 'Left embeddedness, words before main verb, mean'	SYNNP 'Number of modifiers per noun phrase, mean'	SYNMEDpos 'Minimal Edit Distance, part of speech'	SYNMEDwrd 'Minimal Edit Distance, all words'	SYNMEDlem 'Minimal Edit Distance, lemmas'	SYNSTRUTa 'Sentence syntax similarity, adjacent sentences, mean'	SYNSTRUTt 'Sentence syntax similarity, all combinations, across  paragraphs, mean'	DRNP 'Noun phrase density, incidence'	DRVP 'Verb phrase density, incidence'	DRAP 'Adverbial phrase density, incidence'	DRPP 'Preposition phrase density, incidence'	DRPVAL 'Agentless passive voice density, incidence'	DRNEG	DRGERUND 'Gerund density, incidence'	DRINF 'Infinitive density, incidence'	WRDNOUN	WRDVERB	WRDADJ	WRDADV	WRDPRO	WRDPRP1s 'First person singular pronoun incidence'	WRDPRP1p 'First person plural pronoun incidence'	WRDPRP2 'Second person pronoun incidence'	WRDPRP3s 'Third person singular pronoun incidence'	WRDPRP3p 'Third person plural pronoun incidence'	WRDFRQc 'CELEX word frequency for content words, mean'	WRDFRQa 'CELEX Log frequency for all words, mean'	WRDFRQmc 'CELEX Log minimum frequency for content words, mean'	WRDAOAc 'Age of acquisition for content words, mean'	WRDFAMc 'Familiarity for content words, mean'	WRDCNCc 'Concreteness for content words, mean'	WRDIMGc 'Imagability for content words, mean'	WRDMEAc 'Meaningfulness, Colorado norms, content words, mean'	WRDPOLc 'Polysemy for content words, mean'	WRDHYPn 'Hypernymy for nouns, mean'	WRDHYPv 'Hypernymy for verbs, mean'	WRDHYPnv 'Hypernymy for nouns and verbs, mean'	RDFRE 'Flesch Reading Ease'	RDFKGL 'Flesch-Kincaid Grade level'	RDL2 'Coh-Metrix L2 Readability'
12	17	411	1.417	0.515	24.176	11.207	1.608	0.889	4.895	2.697	-0.689	24.51	-0.985	16.35	-0.525	30.15	-0.952	17.11	-1.019	15.62	-0.33	37.07	-1.283	10.03	-0.56	28.77	0.5	0.563	0.5	0.33	0.4	0.426	0.099	0.084	0.057	0.077	0.188	0.123	0.118	0.087	0.253	0.091	0.291	0.103	0.746	0.563	124.431	126.483	53.528	9.732	26.764	14.599	9.732	24.331	38.929	0	0	12.165	19.465	14.599	0.5	0.143	0.059	0.536	0.813	6.235	0.864	0.641	0.917	0.856	0.071	0.061	420.925	153.285	34.063	150.852	4.866	2.433	26.764	9.732	338.2	104.622	87.591	41.362	31.63	0	4.866	2.433	7.299	4.866	2.086	2.931	0.868	373.723	556.941	360.348	394.576	401.036	3.866	6.195	1.655	2.136	46.26	12.813	10.801
23	31	696	1.348	0.573	22.452	10.742	1.615	0.916	4.894	2.63	-0.81	20.9	-0.245	40.52	0.794	78.52	-1.179	12.1	-0.092	46.41	-0.178	43.25	-0.586	28.1	-0.951	17.11	0.233	0.367	0.333	0.208	0.263	0.278	0.063	0.081	0.042	0.063	0.182	0.142	0.134	0.103	0.249	0.124	0.296	0.1	0.727	0.501	112.206	100.912	71.839	28.736	27.299	7.184	10.057	27.299	33.046	0	0	20.115	22.989	28.736	0.133	0.857	0.051	0.597	0.767	7.29	1.005	0.66	0.886	0.886	0.1	0.091	370.69	212.644	18.678	129.31	4.31	7.184	15.805	25.862	320.402	139.368	81.897	21.552	38.793	0	12.931	1.437	12.931	7.184	2.065	3.02	1.125	391.905	552.49	393.891	438.696	454.341	3.776	5.441	1.935	1.94	47.417	12.223	10.237
19	21	529	1.105	0.315	25.19	11.527	1.544	0.785	4.868	2.642	-0.595	27.76	-0.283	38.97	1.167	87.7	-1.183	11.9	-0.222	41.29	-1.07	14.23	-1.427	7.78	1.026	84.61	0.45	0.45	0.55	0.335	0.394	0.503	0.06	0.074	0.059	0.076	0.227	0.145	-0.011	0.049	0.285	0.092	0.334	0.12	0.679	0.487	113.477	108.522	77.505	22.684	22.684	13.233	22.684	15.123	35.917	0	0	9.452	9.452	28.355	0	0.75	0.03	0.267	1	4.619	1.176	0.791	0.949	0.949	0.109	0.1	374.291	149.338	24.575	120.983	3.781	3.781	20.794	13.233	332.703	109.642	96.408	26.465	17.013	3.781	0	0	11.342	0	1.978	2.959	1.56	328.667	570.852	426.241	451.915	440.71	3.021	5.021	1.504	1.737	50.645	12.453	8.701
28	37	842	1.321	0.67	22.757	10.93	1.422	0.728	4.511	2.293	-0.384	35.2	-0.254	40.13	0.858	80.23	-0.46	32.28	-0.508	30.85	0.489	68.44	-1.708	4.46	-0.789	21.48	0.444	0.528	0.583	0.27	0.356	0.352	0.087	0.1	0.049	0.077	0.235	0.17	0.201	0.195	0.291	0.145	0.35	0.117	0.654	0.439	98.465	120.945	81.948	17.815	23.753	2.375	11.876	17.815	51.069	0	0	15.439	19.002	28.504	0.214	0.52	0.056	0.616	0.792	4.784	1.036	0.651	0.862	0.846	0.071	0.084	380.048	154.394	17.815	106.888	0	3.563	15.439	8.314	328.979	117.576	71.259	23.753	40.38	5.938	8.314	3.563	8.314	10.689	2.195	3.092	1.91	311.459	566.765	391.409	430.164	429.174	4.127	4.229	1.562	1.558	63.435	10.065	12.598
35	58	1120	1.657	0.765	19.31	9.267	1.598	0.825	4.988	2.493	-1.549	6.18	0.217	58.32	1.499	93.19	-1.771	3.84	0.366	64.06	-1.935	2.68	-3.095	0.1	-1.153	12.51	0.333	0.386	0.421	0.267	0.333	0.335	0.053	0.083	0.048	0.077	0.15	0.151	0.139	0.103	0.167	0.146	0.305	0.1	0.61	0.421	176.449	178.22	86.607	22.321	38.393	25.893	13.393	18.75	46.429	0	0	19.643	24.107	16.071	0.217	1.105	0.063	0.338	0.754	4.155	1.441	0.631	0.926	0.917	0.072	0.082	335.714	167.857	9.821	125.893	8.929	1.786	14.286	12.5	416.964	91.071	76.786	18.75	27.679	0	0	0	3.571	24.107	1.852	2.681	0	293.979	563.878	407.654	436.453	423.218	3.548	4.623	1.662	2.071	52.045	10.797	3.272
