	basic_counts:adjectives	basic_counts:adverbs	basic_counts:content_words	basic_counts:flesch	basic_counts:function_words	basic_counts:sentences_per_paragraph	basic_counts:syllables_per_content_word	basic_counts:words_per_sentence	basic_counts:nouns	basic_counts:paragraphs	basic_counts:sentences	basic_counts:words	basic_counts:pronouns	basic_counts:verbs	logic_operators:and_incidence	logic_operators:if_incidence	logic_operators:or_incidence	logic_operators:negation_incidence	logic_operators:logic_operators	cw_frequencies:cw_freq	cw_frequencies:min_cw_freq	hypernyms:hypernyms_verbs	Tokens:personal_pronouns	Tokens:pronouns_per_np	Tokens:ttr	constituents:mod_per_np	constituents:np_incidence	constituents:words_before_main_verb	connectives:conn_incidence	connectives:add_neg_conn_incidence	connectives:add_pos_conn_incidence	connectives:cau_neg_conn_incidence	connectives:cau_pos_conn_incidence	connectives:log_neg_conn_incidence	connectives:log_pos_conn_incidence	connectives:tmp_neg_conn_incidence	connectives:tmp_pos_conn_incidence	ambiguity:adjectives_ambiguity	ambiguity:adverbs_ambiguity	ambiguity:nouns_ambiguity	ambiguity:verbs_ambiguity	coreference:adj_arg_ovl	coreference:arg_ovl	coreference:adj_stem_ovl	coreference:stem_ovl	coreference:adj_cw_ovl	anaphoras:adjacent_refs	anaphoras:anaphoric_refs
0	52.2648083624	38.3275261324	651.567944251	10.9008362369	331.010452962	1.75	2.91443850267	41.0	459.930313589	4.0	7.0	287.0	55.7491289199	101.045296167	31.3588850174	0.0	0.0	0.0	31.3588850174	1434676.03743	0.0	0.541666666667	3.48432055749	0.0102040816327	0.641114982578	0.17652613677	306.588619527	5.0	66.2020905923	6.96864111498	41.8118466899	0.0	17.4216027875	3.48432055749	10.4529616725	0.0	3.48432055749	3.06666666667	3.2	1.55303030303	11.2272727273	2.33333333333	2.47619047619	3.0	3.09523809524	2.83333333333	3.33333333333	6.16666666667
1	92.5507900677	36.1173814898	613.995485327	-9.44372121896	372.460496614	2.0	3.31985294118	44.3	370.203160271	5.0	10.0	443.0	65.4627539503	115.124153499	31.6027088036	0.0	0.0	2.25733634312	33.8600451467	571495.1875	198.8	0.595238095238	6.77200902935	0.0187301587302	0.618510158014	0.258486892477	389.449602457	6.0	83.5214446953	4.51467268623	45.1467268623	0.0	31.6027088036	0.0	33.8600451467	0.0	9.02934537246	2.9756097561	1.36363636364	2.2012195122	8.62790697674	1.55555555556	1.93333333333	1.11111111111	1.48888888889	1.0	2.77777777778	9.55555555556
2	45.2830188679	16.9811320755	601.886792453	32.4654245283	347.169811321	3.33333333333	2.934169279	26.5	420.754716981	6.0	20.0	530.0	33.9622641509	118.867924528	20.7547169811	1.88679245283	1.88679245283	1.88679245283	26.4150943396	939596.53605	8603.7	0.910714285714	1.88679245283	0.00909090909091	0.441509433962	0.239604598618	362.249001595	7.8	64.1509433962	5.66037735849	22.641509434	0.0	30.1886792453	3.77358490566	18.8679245283	0.0	3.77358490566	2.875	4.25	2.05829596413	8.125	2.10526315789	1.5	2.73684210526	2.24210526316	2.42105263158	0.210526315789	0.894736842105
3	86.55126498	29.2942743009	617.842876165	25.2283134544	367.509986684	2.04347826087	3.19396551724	15.9787234043	418.10918775	23.0	47.0	751.0	35.9520639148	83.8881491345	38.6151797603	0.0	3.99467376831	5.32623169108	47.9360852197	975534.521552	2358.46808511	0.690909090909	0.0	0.0	0.462050599201	0.0	545.813394744	3.97872340426	106.524633822	0.0	55.9254327563	0.0	53.2623169108	0.0	45.2729693742	0.0	7.98934753662	2.81538461538	1.63157894737	3.10828025478	7.82222222222	0.369565217391	0.379278445883	0.45652173913	0.551341350601	0.521739130435	0.0	0.0
4	87.5420875421	10.101010101	562.28956229	16.1622272727	417.508417508	3.33333333333	3.2994011976	29.7	367.003367003	3.0	10.0	297.0	67.3400673401	97.6430976431	30.303030303	0.0	0.0	0.0	30.303030303	529643.778443	1353.7	0.6	3.367003367	0.01	0.602693602694	0.29766374269	382.850421768	6.6	84.1750841751	0.0	40.404040404	0.0	53.8720538721	0.0	43.771043771	0.0	3.367003367	3.26923076923	3.66666666667	2.67889908257	8.24	0.777777777778	0.955555555556	1.0	1.17777777778	1.0	0.0	0.0
5	2.20264317181	6.60792951542	929.515418502	-43.0001707048	70.4845814978	1.33333333333	2.89099526066	56.75	887.665198238	6.0	8.0	454.0	6.60792951542	33.0396475771	11.013215859	0.0	0.0	0.0	11.013215859	3970150.51896	705.5	0.5	0.0	0.0	0.45154185022	0.174603174603	322.409418313	19.25	33.0396475771	0.0	22.0264317181	0.0	2.20264317181	0.0	2.20264317181	0.0	8.81057268722	0.0	3.0	0.48635235732	10.7692307692	138.285714286	43.8928571429	138.428571429	43.8214285714	138.428571429	0.142857142857	0.142857142857
6	69.5296523517	18.4049079755	597.137014315	17.9786247444	392.63803681	3.6	3.18835616438	27.1666666667	370.143149284	5.0	18.0	489.0	51.1247443763	139.059304703	36.8098159509	0.0	2.04498977505	2.04498977505	40.899795501	1073702.24658	2694.33333333	0.75	0.0	0.0	0.556237218814	0.291005943947	359.698153236	7.33333333333	79.754601227	0.0	53.1697341513	0.0	38.854805726	0.0	26.5848670757	0.0	4.0899795501	2.52941176471	1.0	2.95027624309	7.57894736842	1.0	0.81045751634	1.35294117647	1.0	1.05882352941	0.0	0.0
7	39.5480225989	28.2485875706	585.687382298	18.9191525424	414.312617702	4.2	3.26045016077	25.2857142857	354.048964218	5.0	21.0	531.0	52.7306967985	163.84180791	28.2485875706	3.76647834275	5.64971751412	1.88323917137	39.5480225989	576424.684887	731.523809524	1.07692307692	0.0	0.0	0.517890772128	0.31741961742	338.896296232	4.95238095238	79.0960451977	3.76647834275	33.8983050847	1.88323917137	33.8983050847	5.64971751412	26.3653483992	0.0	5.64971751412	2.28571428571	2.2	2.67553191489	7.75	0.9	0.761904761905	1.2	1.17619047619	0.95	0.15	0.6
8	60.8591885442	28.6396181384	585.918854415	29.6824357714	403.341288783	3.77777777778	3.07942973523	24.6470588235	366.348448687	9.0	34.0	838.0	87.1121718377	130.071599045	26.2529832936	0.0	0.0	5.96658711217	32.2195704057	780259.810591	1216.20588235	0.529411764706	4.77326968974	0.0191674038036	0.489260143198	0.318805690707	383.081285984	4.29411764706	62.0525059666	0.0	32.2195704057	0.0	27.446300716	0.0	17.8997613365	0.0	4.77326968974	2.49019607843	2.13636363636	2.84690553746	8.95744680851	1.54545454545	1.19429590018	1.0	0.802139037433	0.818181818182	0.515151515152	2.36363636364
9	44.0771349862	27.5482093664	581.267217631	24.7244818818	369.14600551	2.6	3.12796208531	27.9230769231	410.468319559	5.0	13.0	363.0	46.8319559229	99.173553719	22.0385674931	0.0	2.75482093664	0.0	24.7933884298	815068.023697	303.923076923	0.666666666667	0.0	0.00769230769231	0.581267217631	0.240954878455	406.887027181	8.0	71.6253443526	11.0192837466	30.303030303	0.0	30.303030303	2.75482093664	19.2837465565	0.0	11.0192837466	3.4375	3.625	1.1677852349	7.44827586207	0.416666666667	0.987179487179	0.666666666667	1.05128205128	0.333333333333	0.5	0.583333333333
10	46.6045272969	42.6098535286	611.185086551	29.9939339547	364.846870839	3.57142857143	2.85403050109	30.04	408.78828229	7.0	25.0	751.0	61.2516644474	113.182423435	25.2996005326	0.0	2.66311584554	1.33155792277	29.2942743009	335674.488017	526.56	0.703703703704	2.66311584554	0.00761904761905	0.549933422104	0.24993530618	352.341776504	5.56	78.5619174434	7.98934753662	33.2889480692	0.0	30.6258322237	3.99467376831	26.6311584554	0.0	10.6524633822	2.51428571429	2.65384615385	1.30293159609	9.25423728814	0.833333333333	0.84	0.791666666667	0.86	0.75	0.375	2.08333333333
11	53.751399776	24.6360582307	587.90593505	30.246734143	378.49944009	4.33333333333	3.06857142857	22.8974358974	374.020156775	9.0	39.0	893.0	31.3549832027	135.498320269	24.6360582307	0.0	1.11982082867	2.23964165733	27.9955207167	752507.881905	766.717948718	0.660550458716	3.359462486	0.031746031746	0.48712206047	0.333222760146	314.659324026	6.10256410256	77.2676371781	3.359462486	31.3549832027	0.0	34.7144456887	0.0	27.9955207167	1.11982082867	15.6774916013	2.89583333333	1.58823529412	2.0628742515	8.46666666667	0.526315789474	0.457489878543	0.710526315789	0.587044534413	0.526315789474	0.157894736842	0.657894736842
12	57.2916666667	15.625	611.111111111	6.928	375.0	2.85714285714	3.33522727273	28.8	425.347222222	7.0	20.0	576.0	46.875	112.847222222	32.9861111111	0.0	0.0	0.0	32.9861111111	1457365.27273	2861.65	0.894736842105	0.0	0.0	0.513888888889	0.294019817743	363.46866477	5.6	92.0138888889	3.47222222222	46.875	0.0	43.4027777778	0.0	32.9861111111	0.0	5.20833333333	2.0303030303	3.0	2.44897959184	6.6	0.684210526316	1.06842105263	0.947368421053	1.22631578947	0.789473684211	0.0	0.0
13	60.5714285714	37.7142857143	620.571428571	36.6552498168	356.571428571	3.54545454545	2.88950276243	22.4358974359	364.571428571	11.0	39.0	875.0	37.7142857143	157.714285714	32.0	1.14285714286	1.14285714286	4.57142857143	38.8571428571	631041.968692	1015.74358974	0.875	9.14285714286	0.0285205535206	0.502857142857	0.317671534119	372.952100418	5.17948717949	76.5714285714	5.71428571429	40.0	0.0	29.7142857143	1.14285714286	18.2857142857	0.0	8.0	2.64150943396	2.92	1.81504702194	8.64166666667	0.710526315789	0.421052631579	1.23684210526	0.753036437247	1.0	0.421052631579	2.13157894737
14	65.7084188912	32.8542094456	607.802874743	32.5919654931	369.609856263	5.85714285714	2.97804054054	23.756097561	387.063655031	7.0	41.0	974.0	39.0143737166	122.176591376	24.6406570842	0.0	3.08008213552	8.2135523614	35.9342915811	694413.302365	676.926829268	0.787610619469	1.02669404517	0.00709534368071	0.503080082136	0.319453649332	348.098387556	5.65853658537	61.6016427105	2.05338809035	32.8542094456	3.08008213552	22.5872689938	3.08008213552	14.3737166324	0.0	5.13347022587	2.203125	2.53846153846	1.57029177719	9.6265060241	0.425	0.468292682927	0.475	0.609756097561	0.375	0.05	0.125
15	77.7202072539	53.5405872193	633.851468048	23.7250064767	360.967184801	4.0	3.09809264305	20.6785714286	333.333333333	7.0	28.0	579.0	65.6303972366	169.257340242	13.816925734	5.18134715026	0.0	17.2711571675	36.2694300518	634399.395095	9436.25	0.511111111111	5.18134715026	0.0	0.512953367876	0.0	318.355879491	4.71428571429	98.4455958549	12.0898100173	20.725388601	0.0	63.9032815199	5.18134715026	50.0863557858	0.0	6.90846286701	1.44444444444	1.79310344828	1.85492227979	8.0	0.62962962963	0.751322751323	1.25925925926	1.11904761905	0.777777777778	0.185185185185	0.666666666667
16	75.9493670886	36.7088607595	596.202531646	15.4900584226	393.670886076	3.25	3.18683651805	30.3846153846	353.164556962	8.0	26.0	790.0	64.5569620253	130.379746835	22.7848101266	1.26582278481	7.59493670886	3.79746835443	35.4430379747	638189.753715	275.961538462	0.916666666667	2.53164556962	0.00961538461538	0.508860759494	0.310391949051	327.905294528	7.80769230769	77.2151898734	6.32911392405	40.5063291139	0.0	30.3797468354	1.26582278481	24.0506329114	0.0	10.1265822785	2.73333333333	2.36363636364	2.40501792115	8.68493150685	1.48	0.784615384615	1.68	1.13538461538	1.44	0.2	1.84
17	53.1914893617	24.4680851064	576.595744681	26.4471052632	384.042553191	5.42857142857	3.20848708487	24.7368421053	377.659574468	7.0	38.0	940.0	43.6170212766	121.276595745	27.6595744681	2.12765957447	1.06382978723	5.31914893617	36.170212766	817839.677122	2430.34210526	0.537735849057	2.12765957447	0.00552725900773	0.437234042553	0.372539673824	355.424321435	4.76315789474	81.914893617	2.12765957447	38.2978723404	1.06382978723	37.2340425532	2.12765957447	19.1489361702	1.06382978723	8.51063829787	1.84	2.57894736842	2.28169014085	7.5393258427	1.91891891892	0.908961593172	1.89189189189	0.910384068279	1.67567567568	0.0810810810811	0.594594594595
18	47.7707006369	21.2314225053	571.125265393	40.2553503185	390.658174098	5.25	2.95167286245	22.4285714286	370.488322718	8.0	42.0	942.0	40.3397027601	131.634819533	27.6008492569	2.12314225053	6.36942675159	2.12314225053	38.2165605096	612331.319703	1078.16666667	0.535714285714	1.06157112527	0.00918964076859	0.469214437367	0.251598056922	390.438380277	4.19047619048	89.1719745223	2.12314225053	39.2781316348	0.0	46.7091295117	0.0	36.093418259	0.0	7.43099787686	4.35555555556	3.0	2.25214899713	10.3369565217	0.80487804878	0.334494773519	1.0243902439	0.456445993031	0.878048780488	0.0487804878049	0.292682926829
19	51.1679644049	20.022246941	619.57730812	21.4743448276	361.512791991	7.0	3.09515260323	25.6857142857	395.995550612	5.0	35.0	899.0	40.0444938821	152.391546162	26.6963292547	0.0	1.11234705228	4.44938820912	32.2580645161	785650.147217	1105.74285714	0.362903225806	5.5617352614	0.0319444444444	0.491657397108	0.259799992626	339.672188738	3.11428571429	87.8754171301	6.67408231368	40.0444938821	0.0	44.4938820912	3.33704115684	33.3704115684	0.0	5.5617352614	2.5652173913	3.84615384615	1.78651685393	10.5535714286	0.852941176471	0.61512605042	1.17647058824	1.03193277311	0.794117647059	0.382352941176	1.94117647059
